iter	Logloss
0	0.3963123106
1	0.2401691614
2	0.1487503661
3	0.0954310034
4	0.05820312016
5	0.03906663685
6	0.02435935885
7	0.01712422749
8	0.01314020559
9	0.009261963627
10	0.007584163675
11	0.006283657636
12	0.00531671182
13	0.004623227582
14	0.00412932193
15	0.003713739752
16	0.003414493727
17	0.003172330241
18	0.00297286211
19	0.002809833122
20	0.002511105366
21	0.002414512114
22	0.002309093566
23	0.002247187089
24	0.002193546459
25	0.002048448497
26	0.001876489394
27	0.001739734149
28	0.001621135959
29	0.001542457195
30	0.00152063181
31	0.001509613548
32	0.001495160538
33	0.00148005289
34	0.001440887767
35	0.001417001501
36	0.001395232029
37	0.001369683998
38	0.00136965977
39	0.00136965977
40	0.001369630887
41	0.00135133538
42	0.00135133538
43	0.001351326129
44	0.001308391039
45	0.00127360276
46	0.001244709192
47	0.001244703684
48	0.0012044943
49	0.001188038097
50	0.001188004697
51	0.001174576326
52	0.001153850473
53	0.001153838696
54	0.001153823547
55	0.001124321499
56	0.001124324532
57	0.001095992805
58	0.001095979128
59	0.00108307133
60	0.001063994886
61	0.001043491652
62	0.001043469251
63	0.001043467246
64	0.001021383196
65	0.001021380393
66	0.0009989294098
67	0.0009987799679
68	0.0009804658156
69	0.0009720535224
70	0.000957770147
71	0.0009577513955
72	0.0009577349971
73	0.0009478510185
74	0.0009352686301
75	0.0009352625839
76	0.0009294493405
77	0.0009294284745
78	0.0009159736505
79	0.0009159708008
80	0.0009159708008
81	0.0009159708008
82	0.0009159708008
83	0.0009159629593
84	0.0009159304286
85	0.0009159124733
86	0.0009159124733
87	0.0009159124733
88	0.0009159274882
89	0.0009004707182
90	0.0009004725647
91	0.0009004725647
92	0.0009004725647
93	0.0009004507863
94	0.0009003730176
95	0.0009003626161
96	0.0009003460581
97	0.0009003370617
98	0.0009003269834
99	0.0009003269834
100	0.0008924193709
101	0.0008924110466
102	0.0008924110466
103	0.0008923914339
104	0.0008923808334
105	0.0008814997552
106	0.0008814961606
107	0.0008814961606
108	0.0008814961606
109	0.0008814979106
110	0.0008814979106
111	0.0008815024294
112	0.0008814762267
113	0.0008814822236
114	0.0008814742796
115	0.0008814685192
116	0.0008814548739
117	0.0008814423066
118	0.0008619979205
119	0.0008566588964
120	0.0008566537981
121	0.0008566246432
122	0.0008566215511
123	0.0008566215511
124	0.0008566066879
125	0.0008566066879
126	0.0008566066879
127	0.0008566122414
128	0.0008566122414
129	0.0008565755485
130	0.0008565640848
131	0.0008565531493
132	0.000856555997
133	0.0008565452309
134	0.0008565467937
135	0.0008565467937
136	0.0008565467937
137	0.0008565407081
138	0.0008565337199
139	0.0008516296266
140	0.0008516166041
141	0.0008516166041
142	0.0008516190931
143	0.0008516190931
144	0.0008516190931
145	0.000851608398
146	0.0008516148876
147	0.0008515950463
148	0.0008515668118
149	0.0008515626181
150	0.0008515655722
151	0.0008515655722
152	0.0008515655722
153	0.0008515492447
154	0.0008515365218
155	0.0008515346515
156	0.0008515327931
157	0.0008515249694
158	0.0008515192937
159	0.0008515067402
160	0.0008515013916
161	0.0008515058494
162	0.0008514905487
163	0.0008514820214
164	0.0008514747947
165	0.0008514748026
166	0.0008514669572
167	0.0008514625073
168	0.0008514367026
